Date,Week,Month,Year,
03-Sep-12,1,Sep-12,2013,
04-Sep-12,1,Sep-12,2013,
05-Sep-12,1,Sep-12,2013,
06-Sep-12,1,Sep-12,2013,
07-Sep-12,1,Sep-12,2013,
08-Sep-12,1,Sep-12,2013,
09-Sep-12,1,Sep-12,2013,
10-Sep-12,2,Sep-12,2013,
11-Sep-12,2,Sep-12,2013,
12-Sep-12,2,Sep-12,2013,
13-Sep-12,2,Sep-12,2013,
14-Sep-12,2,Sep-12,2013,
15-Sep-12,2,Sep-12,2013,
16-Sep-12,2,Sep-12,2013,
17-Sep-12,3,Sep-12,2013,
18-Sep-12,3,Sep-12,2013,
19-Sep-12,3,Sep-12,2013,
20-Sep-12,3,Sep-12,2013,
21-Sep-12,3,Sep-12,2013,
22-Sep-12,3,Sep-12,2013,
23-Sep-12,3,Sep-12,2013,
24-Sep-12,4,Sep-12,2013,
25-Sep-12,4,Sep-12,2013,
26-Sep-12,4,Sep-12,2013,
27-Sep-12,4,Sep-12,2013,
28-Sep-12,4,Sep-12,2013,
29-Sep-12,4,Sep-12,2013,
30-Sep-12,4,Sep-12,2013,
01-Oct-12,5,Oct-12,2013,
02-Oct-12,5,Oct-12,2013,
03-Oct-12,5,Oct-12,2013,
04-Oct-12,5,Oct-12,2013,
05-Oct-12,5,Oct-12,2013,
06-Oct-12,5,Oct-12,2013,
07-Oct-12,5,Oct-12,2013,
08-Oct-12,6,Oct-12,2013,
09-Oct-12,6,Oct-12,2013,
10-Oct-12,6,Oct-12,2013,
11-Oct-12,6,Oct-12,2013,
12-Oct-12,6,Oct-12,2013,
13-Oct-12,6,Oct-12,2013,
14-Oct-12,6,Oct-12,2013,
15-Oct-12,7,Oct-12,2013,
16-Oct-12,7,Oct-12,2013,
17-Oct-12,7,Oct-12,2013,
18-Oct-12,7,Oct-12,2013,
19-Oct-12,7,Oct-12,2013,
20-Oct-12,7,Oct-12,2013,
21-Oct-12,7,Oct-12,2013,
22-Oct-12,8,Oct-12,2013,
23-Oct-12,8,Oct-12,2013,
24-Oct-12,8,Oct-12,2013,
25-Oct-12,8,Oct-12,2013,
26-Oct-12,8,Oct-12,2013,
27-Oct-12,8,Oct-12,2013,
28-Oct-12,8,Oct-12,2013,
29-Oct-12,9,Nov-12,2013,
30-Oct-12,9,Nov-12,2013,
