Date,Week,Month,Year,
31-Oct-12,9,Nov-12,2013,
01-Nov-12,9,Nov-12,2013,
02-Nov-12,9,Nov-12,2013,
03-Nov-12,9,Nov-12,2013,
04-Nov-12,9,Nov-12,2013,
05-Nov-12,10,Nov-12,2013,
06-Nov-12,10,Nov-12,2013,
07-Nov-12,10,Nov-12,2013,
08-Nov-12,10,Nov-12,2013,
09-Nov-12,10,Nov-12,2013,
10-Nov-12,10,Nov-12,2013,
11-Nov-12,10,Nov-12,2013,
12-Nov-12,11,Nov-12,2013,
13-Nov-12,11,Nov-12,2013,
14-Nov-12,11,Nov-12,2013,
15-Nov-12,11,Nov-12,2013,
16-Nov-12,11,Nov-12,2013,
17-Nov-12,11,Nov-12,2013,
18-Nov-12,11,Nov-12,2013,
19-Nov-12,12,Nov-12,2013,
20-Nov-12,12,Nov-12,2013,
21-Nov-12,12,Nov-12,2013,
22-Nov-12,12,Nov-12,2013,
23-Nov-12,12,Nov-12,2013,
24-Nov-12,12,Nov-12,2013,
25-Nov-12,12,Nov-12,2013,
26-Nov-12,13,Dec-12,2013,
27-Nov-12,13,Dec-12,2013,
28-Nov-12,13,Dec-12,2013,
29-Nov-12,13,Dec-12,2013,
30-Nov-12,13,Dec-12,2013,
01-Dec-12,13,Dec-12,2013,
02-Dec-12,13,Dec-12,2013,
03-Dec-12,14,Dec-12,2013,
04-Dec-12,14,Dec-12,2013,
05-Dec-12,14,Dec-12,2013,
06-Dec-12,14,Dec-12,2013,
07-Dec-12,14,Dec-12,2013,
08-Dec-12,14,Dec-12,2013,
09-Dec-12,14,Dec-12,2013,
10-Dec-12,15,Dec-12,2013,
11-Dec-12,15,Dec-12,2013,
12-Dec-12,15,Dec-12,2013,
13-Dec-12,15,Dec-12,2013,
14-Dec-12,15,Dec-12,2013,
15-Dec-12,15,Dec-12,2013,
16-Dec-12,15,Dec-12,2013,
17-Dec-12,16,Dec-12,2013,
18-Dec-12,16,Dec-12,2013,
19-Dec-12,16,Dec-12,2013,
20-Dec-12,16,Dec-12,2013,
21-Dec-12,16,Dec-12,2013,
22-Dec-12,16,Dec-12,2013,
23-Dec-12,16,Dec-12,2013,
24-Dec-12,17,Dec-12,2013,
25-Dec-12,17,Dec-12,2013,
26-Dec-12,17,Dec-12,2013,
27-Dec-12,17,Dec-12,2013,
28-Dec-12,17,Dec-12,2013,
29-Dec-12,17,Dec-12,2013,
30-Dec-12,17,Dec-12,2013,
31-Dec-12,18,Jan-13,2013,
01-Jan-13,18,Jan-13,2013,
02-Jan-13,18,Jan-13,2013,
03-Jan-13,18,Jan-13,2013,
04-Jan-13,18,Jan-13,2013,
05-Jan-13,18,Jan-13,2013,
06-Jan-13,18,Jan-13,2013,
07-Jan-13,19,Jan-13,2013,
08-Jan-13,19,Jan-13,2013,
09-Jan-13,19,Jan-13,2013,
10-Jan-13,19,Jan-13,2013,
11-Jan-13,19,Jan-13,2013,
12-Jan-13,19,Jan-13,2013,
13-Jan-13,19,Jan-13,2013,
14-Jan-13,20,Jan-13,2013,
15-Jan-13,20,Jan-13,2013,
16-Jan-13,20,Jan-13,2013,
17-Jan-13,20,Jan-13,2013,
18-Jan-13,20,Jan-13,2013,
19-Jan-13,20,Jan-13,2013,
20-Jan-13,20,Jan-13,2013,
21-Jan-13,21,Jan-13,2013,
22-Jan-13,21,Jan-13,2013,
23-Jan-13,21,Jan-13,2013,
24-Jan-13,21,Jan-13,2013,
25-Jan-13,21,Jan-13,2013,
26-Jan-13,21,Jan-13,2013,
27-Jan-13,21,Jan-13,2013,
28-Jan-13,22,Feb-13,2013,
29-Jan-13,22,Feb-13,2013,
30-Jan-13,22,Feb-13,2013,
31-Jan-13,22,Feb-13,2013,
01-Feb-13,22,Feb-13,2013,
02-Feb-13,22,Feb-13,2013,
03-Feb-13,22,Feb-13,2013,
04-Feb-13,23,Feb-13,2013,
05-Feb-13,23,Feb-13,2013,
06-Feb-13,23,Feb-13,2013,
07-Feb-13,23,Feb-13,2013,
08-Feb-13,23,Feb-13,2013,
09-Feb-13,23,Feb-13,2013,
10-Feb-13,23,Feb-13,2013,
11-Feb-13,24,Feb-13,2013,
12-Feb-13,24,Feb-13,2013,
13-Feb-13,24,Feb-13,2013,
14-Feb-13,24,Feb-13,2013,
15-Feb-13,24,Feb-13,2013,
16-Feb-13,24,Feb-13,2013,
17-Feb-13,24,Feb-13,2013,
18-Feb-13,25,Feb-13,2013,
19-Feb-13,25,Feb-13,2013,
20-Feb-13,25,Feb-13,2013,
21-Feb-13,25,Feb-13,2013,
22-Feb-13,25,Feb-13,2013,
23-Feb-13,25,Feb-13,2013,
24-Feb-13,25,Feb-13,2013,
25-Feb-13,26,Mar-13,2013,
26-Feb-13,26,Mar-13,2013,
27-Feb-13,26,Mar-13,2013,
28-Feb-13,26,Mar-13,2013,
01-Mar-13,26,Mar-13,2013,
02-Mar-13,26,Mar-13,2013,
03-Mar-13,26,Mar-13,2013,
04-Mar-13,27,Mar-13,2013,
05-Mar-13,27,Mar-13,2013,
06-Mar-13,27,Mar-13,2013,
07-Mar-13,27,Mar-13,2013,
08-Mar-13,27,Mar-13,2013,
09-Mar-13,27,Mar-13,2013,
10-Mar-13,27,Mar-13,2013,
11-Mar-13,28,Mar-13,2013,
12-Mar-13,28,Mar-13,2013,
13-Mar-13,28,Mar-13,2013,
14-Mar-13,28,Mar-13,2013,
15-Mar-13,28,Mar-13,2013,
16-Mar-13,28,Mar-13,2013,
17-Mar-13,28,Mar-13,2013,
18-Mar-13,29,Mar-13,2013,
19-Mar-13,29,Mar-13,2013,
20-Mar-13,29,Mar-13,2013,
21-Mar-13,29,Mar-13,2013,
22-Mar-13,29,Mar-13,2013,
23-Mar-13,29,Mar-13,2013,
24-Mar-13,29,Mar-13,2013,
25-Mar-13,30,Mar-13,2013,
26-Mar-13,30,Mar-13,2013,
27-Mar-13,30,Mar-13,2013,
28-Mar-13,30,Mar-13,2013,
29-Mar-13,30,Mar-13,2013,
30-Mar-13,30,Mar-13,2013,
31-Mar-13,30,Mar-13,2013,
01-Apr-13,31,Apr-13,2013,
02-Apr-13,31,Apr-13,2013,
03-Apr-13,31,Apr-13,2013,
04-Apr-13,31,Apr-13,2013,
05-Apr-13,31,Apr-13,2013,
06-Apr-13,31,Apr-13,2013,
07-Apr-13,31,Apr-13,2013,
08-Apr-13,32,Apr-13,2013,
09-Apr-13,32,Apr-13,2013,
10-Apr-13,32,Apr-13,2013,
11-Apr-13,32,Apr-13,2013,
12-Apr-13,32,Apr-13,2013,
13-Apr-13,32,Apr-13,2013,
14-Apr-13,32,Apr-13,2013,
15-Apr-13,33,Apr-13,2013,
16-Apr-13,33,Apr-13,2013,
17-Apr-13,33,Apr-13,2013,
18-Apr-13,33,Apr-13,2013,
19-Apr-13,33,Apr-13,2013,
20-Apr-13,33,Apr-13,2013,
21-Apr-13,33,Apr-13,2013,
22-Apr-13,34,Apr-13,2013,
23-Apr-13,34,Apr-13,2013,
24-Apr-13,34,Apr-13,2013,
25-Apr-13,34,Apr-13,2013,
26-Apr-13,34,Apr-13,2013,
27-Apr-13,34,Apr-13,2013,
28-Apr-13,34,Apr-13,2013,
29-Apr-13,35,May-13,2013,
30-Apr-13,35,May-13,2013,
01-May-13,35,May-13,2013,
02-May-13,35,May-13,2013,
03-May-13,35,May-13,2013,
04-May-13,35,May-13,2013,
05-May-13,35,May-13,2013,
06-May-13,36,May-13,2013,
07-May-13,36,May-13,2013,
08-May-13,36,May-13,2013,
09-May-13,36,May-13,2013,
10-May-13,36,May-13,2013,
11-May-13,36,May-13,2013,
12-May-13,36,May-13,2013,
13-May-13,37,May-13,2013,
14-May-13,37,May-13,2013,
15-May-13,37,May-13,2013,
16-May-13,37,May-13,2013,
17-May-13,37,May-13,2013,
18-May-13,37,May-13,2013,
19-May-13,37,May-13,2013,
20-May-13,38,May-13,2013,
21-May-13,38,May-13,2013,
22-May-13,38,May-13,2013,
23-May-13,38,May-13,2013,
24-May-13,38,May-13,2013,
25-May-13,38,May-13,2013,
26-May-13,38,May-13,2013,
27-May-13,39,Jun-13,2013,
28-May-13,39,Jun-13,2013,
29-May-13,39,Jun-13,2013,
30-May-13,39,Jun-13,2013,
31-May-13,39,Jun-13,2013,
01-Jun-13,39,Jun-13,2013,
02-Jun-13,39,Jun-13,2013,
03-Jun-13,40,Jun-13,2013,
04-Jun-13,40,Jun-13,2013,
05-Jun-13,40,Jun-13,2013,
06-Jun-13,40,Jun-13,2013,
07-Jun-13,40,Jun-13,2013,
08-Jun-13,40,Jun-13,2013,
09-Jun-13,40,Jun-13,2013,
10-Jun-13,41,Jun-13,2013,
11-Jun-13,41,Jun-13,2013,
12-Jun-13,41,Jun-13,2013,
13-Jun-13,41,Jun-13,2013,
14-Jun-13,41,Jun-13,2013,
15-Jun-13,41,Jun-13,2013,
16-Jun-13,41,Jun-13,2013,
17-Jun-13,42,Jun-13,2013,
18-Jun-13,42,Jun-13,2013,
19-Jun-13,42,Jun-13,2013,
20-Jun-13,42,Jun-13,2013,
21-Jun-13,42,Jun-13,2013,
22-Jun-13,42,Jun-13,2013,
23-Jun-13,42,Jun-13,2013,
24-Jun-13,43,Jun-13,2013,
25-Jun-13,43,Jun-13,2013,
26-Jun-13,43,Jun-13,2013,
27-Jun-13,43,Jun-13,2013,
28-Jun-13,43,Jun-13,2013,
29-Jun-13,43,Jun-13,2013,
30-Jun-13,43,Jun-13,2013,
01-Jul-13,44,Jul-13,2013,
02-Jul-13,44,Jul-13,2013,
03-Jul-13,44,Jul-13,2013,
04-Jul-13,44,Jul-13,2013,
05-Jul-13,44,Jul-13,2013,
06-Jul-13,44,Jul-13,2013,
07-Jul-13,44,Jul-13,2013,
08-Jul-13,45,Jul-13,2013,
09-Jul-13,45,Jul-13,2013,
10-Jul-13,45,Jul-13,2013,
11-Jul-13,45,Jul-13,2013,
12-Jul-13,45,Jul-13,2013,
13-Jul-13,45,Jul-13,2013,
14-Jul-13,45,Jul-13,2013,
15-Jul-13,46,Jul-13,2013,
16-Jul-13,46,Jul-13,2013,
17-Jul-13,46,Jul-13,2013,
18-Jul-13,46,Jul-13,2013,
19-Jul-13,46,Jul-13,2013,
20-Jul-13,46,Jul-13,2013,
21-Jul-13,46,Jul-13,2013,
22-Jul-13,47,Jul-13,2013,
23-Jul-13,47,Jul-13,2013,
24-Jul-13,47,Jul-13,2013,
25-Jul-13,47,Jul-13,2013,
26-Jul-13,47,Jul-13,2013,
27-Jul-13,47,Jul-13,2013,
28-Jul-13,47,Jul-13,2013,
29-Jul-13,48,Aug-13,2013,
30-Jul-13,48,Aug-13,2013,
31-Jul-13,48,Aug-13,2013,
01-Aug-13,48,Aug-13,2013,
02-Aug-13,48,Aug-13,2013,
03-Aug-13,48,Aug-13,2013,
04-Aug-13,48,Aug-13,2013,
05-Aug-13,49,Aug-13,2013,
06-Aug-13,49,Aug-13,2013,
07-Aug-13,49,Aug-13,2013,
08-Aug-13,49,Aug-13,2013,
09-Aug-13,49,Aug-13,2013,
10-Aug-13,49,Aug-13,2013,
11-Aug-13,49,Aug-13,2013,
12-Aug-13,50,Aug-13,2013,
13-Aug-13,50,Aug-13,2013,
14-Aug-13,50,Aug-13,2013,
15-Aug-13,50,Aug-13,2013,
16-Aug-13,50,Aug-13,2013,
17-Aug-13,50,Aug-13,2013,
18-Aug-13,50,Aug-13,2013,
19-Aug-13,51,Aug-13,2013,
20-Aug-13,51,Aug-13,2013,
21-Aug-13,51,Aug-13,2013,
22-Aug-13,51,Aug-13,2013,
23-Aug-13,51,Aug-13,2013,
24-Aug-13,51,Aug-13,2013,
25-Aug-13,51,Aug-13,2013,
26-Aug-13,52,Aug-13,2013,
27-Aug-13,52,Aug-13,2013,
28-Aug-13,52,Aug-13,2013,
29-Aug-13,52,Aug-13,2013,
30-Aug-13,52,Aug-13,2013,
31-Aug-13,52,Aug-13,2013,
01-Sep-13,52,Aug-13,2013,
02-Sep-13,1,Sep-13,2014,
03-Sep-13,1,Sep-13,2014,
04-Sep-13,1,Sep-13,2014,
05-Sep-13,1,Sep-13,2014,
06-Sep-13,1,Sep-13,2014,
07-Sep-13,1,Sep-13,2014,
08-Sep-13,1,Sep-13,2014,
09-Sep-13,2,Sep-13,2014,
10-Sep-13,2,Sep-13,2014,
11-Sep-13,2,Sep-13,2014,
12-Sep-13,2,Sep-13,2014,
13-Sep-13,2,Sep-13,2014,
14-Sep-13,2,Sep-13,2014,
15-Sep-13,2,Sep-13,2014,
16-Sep-13,3,Sep-13,2014,
17-Sep-13,3,Sep-13,2014,
18-Sep-13,3,Sep-13,2014,
19-Sep-13,3,Sep-13,2014,
20-Sep-13,3,Sep-13,2014,
21-Sep-13,3,Sep-13,2014,
22-Sep-13,3,Sep-13,2014,
23-Sep-13,4,Sep-13,2014,
24-Sep-13,4,Sep-13,2014,
25-Sep-13,4,Sep-13,2014,
26-Sep-13,4,Sep-13,2014,
27-Sep-13,4,Sep-13,2014,
28-Sep-13,4,Sep-13,2014,
29-Sep-13,4,Sep-13,2014,
30-Sep-13,5,Oct-13,2014,
01-Oct-13,5,Oct-13,2014,
02-Oct-13,5,Oct-13,2014,
03-Oct-13,5,Oct-13,2014,
04-Oct-13,5,Oct-13,2014,
05-Oct-13,5,Oct-13,2014,
06-Oct-13,5,Oct-13,2014,
07-Oct-13,6,Oct-13,2014,
08-Oct-13,6,Oct-13,2014,
09-Oct-13,6,Oct-13,2014,
10-Oct-13,6,Oct-13,2014,
11-Oct-13,6,Oct-13,2014,
12-Oct-13,6,Oct-13,2014,
13-Oct-13,6,Oct-13,2014,
14-Oct-13,7,Oct-13,2014,
15-Oct-13,7,Oct-13,2014,
16-Oct-13,7,Oct-13,2014,
17-Oct-13,7,Oct-13,2014,
18-Oct-13,7,Oct-13,2014,
19-Oct-13,7,Oct-13,2014,
20-Oct-13,7,Oct-13,2014,
21-Oct-13,8,Oct-13,2014,
22-Oct-13,8,Oct-13,2014,
23-Oct-13,8,Oct-13,2014,
24-Oct-13,8,Oct-13,2014,
25-Oct-13,8,Oct-13,2014,
26-Oct-13,8,Oct-13,2014,
27-Oct-13,8,Oct-13,2014,
28-Oct-13,9,Nov-13,2014,
29-Oct-13,9,Nov-13,2014,
30-Oct-13,9,Nov-13,2014,
31-Oct-13,9,Nov-13,2014,
01-Nov-13,9,Nov-13,2014,
02-Nov-13,9,Nov-13,2014,
03-Nov-13,9,Nov-13,2014,
04-Nov-13,10,Nov-13,2014,
05-Nov-13,10,Nov-13,2014,
06-Nov-13,10,Nov-13,2014,
07-Nov-13,10,Nov-13,2014,
08-Nov-13,10,Nov-13,2014,
09-Nov-13,10,Nov-13,2014,
10-Nov-13,10,Nov-13,2014,
11-Nov-13,11,Nov-13,2014,
12-Nov-13,11,Nov-13,2014,
13-Nov-13,11,Nov-13,2014,
14-Nov-13,11,Nov-13,2014,
15-Nov-13,11,Nov-13,2014,
16-Nov-13,11,Nov-13,2014,
17-Nov-13,11,Nov-13,2014,
18-Nov-13,12,Nov-13,2014,
19-Nov-13,12,Nov-13,2014,
20-Nov-13,12,Nov-13,2014,
21-Nov-13,12,Nov-13,2014,
22-Nov-13,12,Nov-13,2014,
23-Nov-13,12,Nov-13,2014,
24-Nov-13,12,Nov-13,2014,
25-Nov-13,13,Dec-13,2014,
26-Nov-13,13,Dec-13,2014,
27-Nov-13,13,Dec-13,2014,
28-Nov-13,13,Dec-13,2014,
29-Nov-13,13,Dec-13,2014,
30-Nov-13,13,Dec-13,2014,
01-Dec-13,13,Dec-13,2014,
02-Dec-13,14,Dec-13,2014,
03-Dec-13,14,Dec-13,2014,
04-Dec-13,14,Dec-13,2014,
05-Dec-13,14,Dec-13,2014,
06-Dec-13,14,Dec-13,2014,
07-Dec-13,14,Dec-13,2014,
08-Dec-13,14,Dec-13,2014,
09-Dec-13,15,Dec-13,2014,
10-Dec-13,15,Dec-13,2014,
11-Dec-13,15,Dec-13,2014,
12-Dec-13,15,Dec-13,2014,
13-Dec-13,15,Dec-13,2014,
14-Dec-13,15,Dec-13,2014,
15-Dec-13,15,Dec-13,2014,
16-Dec-13,16,Dec-13,2014,
17-Dec-13,16,Dec-13,2014,
18-Dec-13,16,Dec-13,2014,
19-Dec-13,16,Dec-13,2014,
20-Dec-13,16,Dec-13,2014,
21-Dec-13,16,Dec-13,2014,
22-Dec-13,16,Dec-13,2014,
23-Dec-13,17,Dec-13,2014,
24-Dec-13,17,Dec-13,2014,
25-Dec-13,17,Dec-13,2014,
26-Dec-13,17,Dec-13,2014,
27-Dec-13,17,Dec-13,2014,
28-Dec-13,17,Dec-13,2014,
29-Dec-13,17,Dec-13,2014,
30-Dec-13,18,Jan-14,2014,
31-Dec-13,18,Jan-14,2014,
01-Jan-14,18,Jan-14,2014,
02-Jan-14,18,Jan-14,2014,
03-Jan-14,18,Jan-14,2014,
04-Jan-14,18,Jan-14,2014,
05-Jan-14,18,Jan-14,2014,
06-Jan-14,19,Jan-14,2014,
07-Jan-14,19,Jan-14,2014,
08-Jan-14,19,Jan-14,2014,
09-Jan-14,19,Jan-14,2014,
10-Jan-14,19,Jan-14,2014,
11-Jan-14,19,Jan-14,2014,
12-Jan-14,19,Jan-14,2014,
13-Jan-14,20,Jan-14,2014,
14-Jan-14,20,Jan-14,2014,
15-Jan-14,20,Jan-14,2014,
16-Jan-14,20,Jan-14,2014,
17-Jan-14,20,Jan-14,2014,
18-Jan-14,20,Jan-14,2014,
19-Jan-14,20,Jan-14,2014,
20-Jan-14,21,Jan-14,2014,
21-Jan-14,21,Jan-14,2014,
22-Jan-14,21,Jan-14,2014,
23-Jan-14,21,Jan-14,2014,
24-Jan-14,21,Jan-14,2014,
25-Jan-14,21,Jan-14,2014,
26-Jan-14,21,Jan-14,2014,
27-Jan-14,22,Feb-14,2014,
28-Jan-14,22,Feb-14,2014,
29-Jan-14,22,Feb-14,2014,
30-Jan-14,22,Feb-14,2014,
31-Jan-14,22,Feb-14,2014,
01-Feb-14,22,Feb-14,2014,
02-Feb-14,22,Feb-14,2014,
03-Feb-14,23,Feb-14,2014,
04-Feb-14,23,Feb-14,2014,
05-Feb-14,23,Feb-14,2014,
06-Feb-14,23,Feb-14,2014,
07-Feb-14,23,Feb-14,2014,
08-Feb-14,23,Feb-14,2014,
09-Feb-14,23,Feb-14,2014,
10-Feb-14,24,Feb-14,2014,
11-Feb-14,24,Feb-14,2014,
12-Feb-14,24,Feb-14,2014,
13-Feb-14,24,Feb-14,2014,
14-Feb-14,24,Feb-14,2014,
15-Feb-14,24,Feb-14,2014,
16-Feb-14,24,Feb-14,2014,
17-Feb-14,25,Feb-14,2014,
18-Feb-14,25,Feb-14,2014,
19-Feb-14,25,Feb-14,2014,
20-Feb-14,25,Feb-14,2014,
21-Feb-14,25,Feb-14,2014,
22-Feb-14,25,Feb-14,2014,
23-Feb-14,25,Feb-14,2014,
24-Feb-14,26,Mar-14,2014,
25-Feb-14,26,Mar-14,2014,
26-Feb-14,26,Mar-14,2014,
27-Feb-14,26,Mar-14,2014,
28-Feb-14,26,Mar-14,2014,
01-Mar-14,26,Mar-14,2014,
02-Mar-14,26,Mar-14,2014,
03-Mar-14,27,Mar-14,2014,
04-Mar-14,27,Mar-14,2014,
05-Mar-14,27,Mar-14,2014,
06-Mar-14,27,Mar-14,2014,
07-Mar-14,27,Mar-14,2014,
08-Mar-14,27,Mar-14,2014,
09-Mar-14,27,Mar-14,2014,
10-Mar-14,28,Mar-14,2014,
11-Mar-14,28,Mar-14,2014,
12-Mar-14,28,Mar-14,2014,
13-Mar-14,28,Mar-14,2014,
14-Mar-14,28,Mar-14,2014,
15-Mar-14,28,Mar-14,2014,
16-Mar-14,28,Mar-14,2014,
17-Mar-14,29,Mar-14,2014,
18-Mar-14,29,Mar-14,2014,
19-Mar-14,29,Mar-14,2014,
20-Mar-14,29,Mar-14,2014,
21-Mar-14,29,Mar-14,2014,
22-Mar-14,29,Mar-14,2014,
23-Mar-14,29,Mar-14,2014,
24-Mar-14,30,Mar-14,2014,
25-Mar-14,30,Mar-14,2014,
26-Mar-14,30,Mar-14,2014,
27-Mar-14,30,Mar-14,2014,
28-Mar-14,30,Mar-14,2014,
29-Mar-14,30,Mar-14,2014,
30-Mar-14,30,Mar-14,2014,
31-Mar-14,31,Apr-14,2014,
01-Apr-14,31,Apr-14,2014,
02-Apr-14,31,Apr-14,2014,
03-Apr-14,31,Apr-14,2014,
04-Apr-14,31,Apr-14,2014,
05-Apr-14,31,Apr-14,2014,
06-Apr-14,31,Apr-14,2014,
07-Apr-14,32,Apr-14,2014,
08-Apr-14,32,Apr-14,2014,
09-Apr-14,32,Apr-14,2014,
10-Apr-14,32,Apr-14,2014,
11-Apr-14,32,Apr-14,2014,
12-Apr-14,32,Apr-14,2014,
13-Apr-14,32,Apr-14,2014,
14-Apr-14,33,Apr-14,2014,
15-Apr-14,33,Apr-14,2014,
16-Apr-14,33,Apr-14,2014,
17-Apr-14,33,Apr-14,2014,
18-Apr-14,33,Apr-14,2014,
19-Apr-14,33,Apr-14,2014,
20-Apr-14,33,Apr-14,2014,
21-Apr-14,34,Apr-14,2014,
22-Apr-14,34,Apr-14,2014,
23-Apr-14,34,Apr-14,2014,
24-Apr-14,34,Apr-14,2014,
25-Apr-14,34,Apr-14,2014,
26-Apr-14,34,Apr-14,2014,
27-Apr-14,34,Apr-14,2014,
28-Apr-14,35,May-14,2014,
29-Apr-14,35,May-14,2014,
30-Apr-14,35,May-14,2014,
01-May-14,35,May-14,2014,
02-May-14,35,May-14,2014,
03-May-14,35,May-14,2014,
04-May-14,35,May-14,2014,
05-May-14,36,May-14,2014,
06-May-14,36,May-14,2014,
07-May-14,36,May-14,2014,
08-May-14,36,May-14,2014,
09-May-14,36,May-14,2014,
10-May-14,36,May-14,2014,
11-May-14,36,May-14,2014,
12-May-14,37,May-14,2014,
13-May-14,37,May-14,2014,
14-May-14,37,May-14,2014,
15-May-14,37,May-14,2014,
16-May-14,37,May-14,2014,
17-May-14,37,May-14,2014,
18-May-14,37,May-14,2014,
19-May-14,38,May-14,2014,
20-May-14,38,May-14,2014,
21-May-14,38,May-14,2014,
22-May-14,38,May-14,2014,
23-May-14,38,May-14,2014,
24-May-14,38,May-14,2014,
25-May-14,38,May-14,2014,
26-May-14,39,Jun-14,2014,
27-May-14,39,Jun-14,2014,
28-May-14,39,Jun-14,2014,
29-May-14,39,Jun-14,2014,
30-May-14,39,Jun-14,2014,
31-May-14,39,Jun-14,2014,
01-Jun-14,39,Jun-14,2014,
02-Jun-14,40,Jun-14,2014,
03-Jun-14,40,Jun-14,2014,
04-Jun-14,40,Jun-14,2014,
05-Jun-14,40,Jun-14,2014,
06-Jun-14,40,Jun-14,2014,
07-Jun-14,40,Jun-14,2014,
08-Jun-14,40,Jun-14,2014,
09-Jun-14,41,Jun-14,2014,
10-Jun-14,41,Jun-14,2014,
11-Jun-14,41,Jun-14,2014,
12-Jun-14,41,Jun-14,2014,
13-Jun-14,41,Jun-14,2014,
14-Jun-14,41,Jun-14,2014,
15-Jun-14,41,Jun-14,2014,
16-Jun-14,42,Jun-14,2014,
17-Jun-14,42,Jun-14,2014,
18-Jun-14,42,Jun-14,2014,
19-Jun-14,42,Jun-14,2014,
20-Jun-14,42,Jun-14,2014,
21-Jun-14,42,Jun-14,2014,
22-Jun-14,42,Jun-14,2014,
23-Jun-14,43,Jun-14,2014,
24-Jun-14,43,Jun-14,2014,
25-Jun-14,43,Jun-14,2014,
26-Jun-14,43,Jun-14,2014,
27-Jun-14,43,Jun-14,2014,
28-Jun-14,43,Jun-14,2014,
29-Jun-14,43,Jun-14,2014,
30-Jun-14,44,Jul-14,2014,
01-Jul-14,44,Jul-14,2014,
02-Jul-14,44,Jul-14,2014,
03-Jul-14,44,Jul-14,2014,
04-Jul-14,44,Jul-14,2014,
05-Jul-14,44,Jul-14,2014,
06-Jul-14,44,Jul-14,2014,
07-Jul-14,45,Jul-14,2014,
08-Jul-14,45,Jul-14,2014,
09-Jul-14,45,Jul-14,2014,
10-Jul-14,45,Jul-14,2014,
11-Jul-14,45,Jul-14,2014,
12-Jul-14,45,Jul-14,2014,
13-Jul-14,45,Jul-14,2014,
14-Jul-14,46,Jul-14,2014,
15-Jul-14,46,Jul-14,2014,
16-Jul-14,46,Jul-14,2014,
17-Jul-14,46,Jul-14,2014,
18-Jul-14,46,Jul-14,2014,
19-Jul-14,46,Jul-14,2014,
20-Jul-14,46,Jul-14,2014,
21-Jul-14,47,Jul-14,2014,
22-Jul-14,47,Jul-14,2014,
23-Jul-14,47,Jul-14,2014,
24-Jul-14,47,Jul-14,2014,
25-Jul-14,47,Jul-14,2014,
26-Jul-14,47,Jul-14,2014,
27-Jul-14,47,Jul-14,2014,
28-Jul-14,48,Aug-14,2014,
29-Jul-14,48,Aug-14,2014,
30-Jul-14,48,Aug-14,2014,
31-Jul-14,48,Aug-14,2014,
01-Aug-14,48,Aug-14,2014,
02-Aug-14,48,Aug-14,2014,
03-Aug-14,48,Aug-14,2014,
04-Aug-14,49,Aug-14,2014,
05-Aug-14,49,Aug-14,2014,
06-Aug-14,49,Aug-14,2014,
07-Aug-14,49,Aug-14,2014,
08-Aug-14,49,Aug-14,2014,
09-Aug-14,49,Aug-14,2014,
10-Aug-14,49,Aug-14,2014,
11-Aug-14,50,Aug-14,2014,
12-Aug-14,50,Aug-14,2014,
13-Aug-14,50,Aug-14,2014,
