Date,Week,Month
03-Sep-12,1,Sep-12
04-Sep-12,1,Sep-12
05-Sep-12,1,Sep-12
06-Sep-12,1,Sep-12
07-Sep-12,1,Sep-12
08-Sep-12,1,Sep-12
09-Sep-12,1,Sep-12
10-Sep-12,2,Sep-12
11-Sep-12,2,Sep-12
12-Sep-12,2,Sep-12
13-Sep-12,2,Sep-12
14-Sep-12,2,Sep-12
15-Sep-12,2,Sep-12
16-Sep-12,2,Sep-12
17-Sep-12,3,Sep-12
18-Sep-12,3,Sep-12
19-Sep-12,3,Sep-12
20-Sep-12,3,Sep-12
21-Sep-12,3,Sep-12
22-Sep-12,3,Sep-12
23-Sep-12,3,Sep-12
24-Sep-12,4,Sep-12
25-Sep-12,4,Sep-12
26-Sep-12,4,Sep-12
27-Sep-12,4,Sep-12
28-Sep-12,4,Sep-12
29-Sep-12,4,Sep-12
30-Sep-12,4,Sep-12
01-Oct-12,5,Oct-12
02-Oct-12,5,Oct-12
03-Oct-12,5,Oct-12
04-Oct-12,5,Oct-12
05-Oct-12,5,Oct-12
06-Oct-12,5,Oct-12
07-Oct-12,5,Oct-12
08-Oct-12,6,Oct-12
09-Oct-12,6,Oct-12
10-Oct-12,6,Oct-12
11-Oct-12,6,Oct-12
12-Oct-12,6,Oct-12
13-Oct-12,6,Oct-12
14-Oct-12,6,Oct-12
15-Oct-12,7,Oct-12
16-Oct-12,7,Oct-12
17-Oct-12,7,Oct-12
18-Oct-12,7,Oct-12
19-Oct-12,7,Oct-12
20-Oct-12,7,Oct-12
21-Oct-12,7,Oct-12
22-Oct-12,8,Oct-12
23-Oct-12,8,Oct-12
24-Oct-12,8,Oct-12
25-Oct-12,8,Oct-12
26-Oct-12,8,Oct-12
27-Oct-12,8,Oct-12
28-Oct-12,8,Oct-12
29-Oct-12,9,Nov-12
30-Oct-12,9,Nov-12
31-Oct-12,9,Nov-12
01-Nov-12,9,Nov-12
02-Nov-12,9,Nov-12
03-Nov-12,9,Nov-12
04-Nov-12,9,Nov-12
05-Nov-12,10,Nov-12
06-Nov-12,10,Nov-12
07-Nov-12,10,Nov-12
08-Nov-12,10,Nov-12
09-Nov-12,10,Nov-12
10-Nov-12,10,Nov-12
11-Nov-12,10,Nov-12
